model,best_cost,recall,precision,pr_auc
RandomForest,12080.0,0.8445945945945946,0.6830601092896175,0.8214812449824267
XGBoost,12560.0,0.8581081081081081,0.3813813813813814,0.8080348133569208
Logistic,13460.0,0.831081081081081,0.5616438356164384,0.7049958883506376
GradientBoosting,13470.0,0.8243243243243243,0.7218934911242604,0.5996819921403695
LightGBM,28330.0,0.777027027027027,0.08859784283513097,0.06556260621703669
