threshold,cost,tn,fp,fn,tp,precision,recall,model
0.07164285714285713,12050,85240,55,23,125,0.6944444444444444,0.8445945945945946,RandomForest
0.061551020408163265,12100,85235,60,23,125,0.6756756756756757,0.8445945945945946,RandomForest
0.05145918367346938,12220,85223,72,23,125,0.6345177664974619,0.8445945945945946,RandomForest
0.04136734693877551,12340,85211,84,23,125,0.5980861244019139,0.8445945945945946,RandomForest
0.10191836734693877,12410,85254,41,24,124,0.7515151515151515,0.8378378378378378,RandomForest
0.0918265306122449,12440,85251,44,24,124,0.7380952380952381,0.8378378378378378,RandomForest
0.08173469387755102,12470,85248,47,24,124,0.7251461988304093,0.8378378378378378,RandomForest
0.03127551020408163,12580,85187,108,23,125,0.5364806866952789,0.8445945945945946,RandomForest
0.021183673469387754,12720,85123,172,22,126,0.4228187919463087,0.8513513513513513,RandomForest
0.1321938775510204,12820,85263,32,25,123,0.7935483870967742,0.831081081081081,RandomForest
0.12210204081632653,12840,85261,34,25,123,0.7834394904458599,0.831081081081081,RandomForest
0.11201020408163265,12890,85256,39,25,123,0.7592592592592593,0.831081081081081,RandomForest
0.15237755102040815,13240,85271,24,26,122,0.8356164383561644,0.8243243243243243,RandomForest
0.14228571428571427,13290,85266,29,26,122,0.8079470198675497,0.8243243243243243,RandomForest
0.19274489795918365,13680,85277,18,27,121,0.8705035971223022,0.8175675675675675,RandomForest
0.1826530612244898,13690,85276,19,27,121,0.8642857142857143,0.8175675675675675,RandomForest
0.1725612244897959,13710,85274,21,27,121,0.852112676056338,0.8175675675675675,RandomForest
0.16246938775510203,13720,85273,22,27,121,0.8461538461538461,0.8175675675675675,RandomForest
0.011091836734693876,14600,84935,360,22,126,0.25925925925925924,0.8513513513513513,RandomForest
0.20283673469387753,15170,85278,17,30,118,0.8740740740740741,0.7972972972972973,RandomForest
0.2230204081632653,15650,85280,15,31,117,0.8863636363636364,0.7905405405405406,RandomForest
0.2129285714285714,15660,85279,16,31,117,0.8796992481203008,0.7905405405405406,RandomForest
0.2633877551020408,16110,85284,11,32,116,0.9133858267716536,0.7837837837837838,RandomForest
0.24320408163265306,16140,85281,14,32,116,0.8923076923076924,0.7837837837837838,RandomForest
0.25329591836734694,16140,85281,14,32,116,0.8923076923076924,0.7837837837837838,RandomForest
0.23311224489795918,16140,85281,14,32,116,0.8923076923076924,0.7837837837837838,RandomForest
0.3037551020408163,16560,85289,6,33,115,0.9504132231404959,0.777027027027027,RandomForest
0.2936632653061224,16570,85288,7,33,115,0.9426229508196722,0.777027027027027,RandomForest
